站点名称,站点ID,纬度（°）,经度（°）,海拔高度(m),年份,月份,平均温度（0.01°C）,最高温度（0.01°C）,最低温度（0.01°C）,日最高温≥35℃的天数（Day）,最小相对湿度(%),降水量(mm),日降水量≥0.1mm的天数（Day）,最大风速日数(Day)
Tong Zhou,54431,39.85,116.76,19.8,2025,2,-0.9,18.9,-12.8,0,7,0,0,4
Chao Yang,54433,39.95,116.5,34.4,2025,2,0.6,18.9,-12.4,0,8,0,0,0
Chang Ping,54499,40.22,116.21,75.7,2025,2,-0.7,18.6,-13.5,0,7,0,0,2
Zhai Tang,54501,39.97,115.69,440.1,2025,2,-4.2,19.3,-18,0,5,0,0,3
Men Tou Gou,54505,39.89,116.16,85.5,2025,2,-0.1,18.8,-12.9,0,6,0,0,6
Bei Jing,54511,39.81,116.47,32.8,2025,2,-0.1,19,-12.1,0,7,0,0,3
Shi Jing Shan,54513,39.94,116.21,63,2025,2,-0.2,19.1,-14,0,7,0,0,3
Feng Tai,54514,39.87,116.25,55,2025,2,0,19.2,-12.3,0,6,0,0,2
Da Xing,54594,39.72,116.35,37.5,2025,2,-0.8,19,-14.2,0,7,0,0,2
Fang Shan,54596,39.77,116.19,48.6,2025,2,-0.8,18.8,-13.4,0,7,0,0,5
Xia Yun Ling,54597,39.73,115.74,408.5,2025,2,-2.8,17.1,-15.4,0,7,0,0,2
Shun Yi,54398,40.13,116.62,27.9,2025,3,9.9,29.4,-3.7,0,5,2.4,2,1
Hai Dian,54399,39.99,116.29,46.3,2025,3,9.9,30.1,-4,0,5,2,2,2
Yan Qing,54406,40.45,115.97,487.5,2025,3,6.6,25.3,-6.4,0,5,3.3,3,2
Fo Ye Ding,54410,40.6,116.13,1224.9,2025,3,1.6,20.4,-10.5,0,8,6.6,4,6
Tang He Kou,54412,40.73,116.63,331.7,2025,3,4.7,28,-16.1,0,5,12,3,5
Mi Yun,54416,40.38,116.86,71.4,2025,3,7.5,29.3,-9.4,0,5,4.4,2,0
Huai Rou,54419,40.36,116.63,75.2,2025,3,8.4,29.6,-6.4,0,5,4.4,2,1
Shang Dian Zi,54421,40.66,117.11,292.4,2025,3,6.3,27.2,-10.5,0,6,11.5,4,2
Ping Gu,54424,40.17,117.12,31.1,2025,3,8,28.7,-8.5,0,5,3.1,2,3
Tong Zhou,54431,39.85,116.76,19.8,2025,3,9,29.2,-5.3,0,6,2.3,1,3
Chao Yang,54433,39.95,116.5,34.4,2025,3,10.5,29,-2.1,0,5,1.6,2,3
Chang Ping,54499,40.22,116.21,75.7,2025,3,9.6,29.2,-3.2,0,5,1.5,4,3
Zhai Tang,54501,39.97,115.69,440.1,2025,3,6.9,26.6,-7.3,0,4,1.6,1,4
Men Tou Gou,54505,39.89,116.16,85.5,2025,3,9.8,28.8,-2.5,0,4,2.8,1,3
Bei Jing,54511,39.81,116.47,32.8,2025,3,9.9,29.1,-4.2,0,5,1.6,2,2
Shi Jing Shan,54513,39.94,116.21,63,2025,3,10.2,28.5,-3.2,0,5,3.5,2,5
Feng Tai,54514,39.87,116.25,55,2025,3,10.1,29.3,-3.1,0,4,1.8,2,2
Da Xing,54594,39.72,116.35,37.5,2025,3,9.3,29.6,-6.1,0,5,2.8,2,3
Fang Shan,54596,39.77,116.19,48.6,2025,3,9.6,29.3,-4.7,0,5,2.5,1,3
Xia Yun Ling,54597,39.73,115.74,408.5,2025,3,7.1,27.3,-3.3,0,4,4.5,4,1
