序号,总车次,延时开始时间,延时结束时间,延时线路,共享时间,更新时间
174210847066486,12,30/4/2024 22:30:00,30/4/2024 23:30:00,大兴机场线，往大兴机场方向,2024/4/29 17:00,1/7/2024 02:00:00
174210847066487,12,1/5/2024 23:00:00,2/5/2024 00:00:00,大兴机场线，往草桥站方向,2024/4/29 17:00,1/7/2024 02:00:00
174210847066488,12,1/5/2024 22:30:00,1/5/2024 23:30:00,大兴机场线，往大兴机场方向,2024/4/29 17:00,1/7/2024 02:00:00
174210847066489,12,5/5/2024 23:00:00,6/5/2024 00:00:00,大兴机场线，往草桥站方向,2024/4/29 17:00,1/7/2024 02:00:00
174210847066490,12,5/5/2024 22:30:00,5/5/2024 23:30:00,大兴机场线，往大兴机场方向,2024/4/29 17:00,1/7/2024 02:00:00
174210847066491,13,5/5/2024 23:01:00,6/5/2024 00:01:00,2号线，外环（西直门-复兴门-东直门-西直门）,2024/4/29 17:00,1/7/2024 02:00:00
174210847066492,12,5/5/2024 23:02:00,6/5/2024 00:02:00,2号线，内环（积水潭-东直门-复兴门-积水潭）,2024/4/29 17:00,1/7/2024 02:00:00
174210847066493,12,7/6/2024 23:23:00,8/6/2024 00:23:00,4号线，北京南站往北安河方向末班车,2024/6/7 16:00,1/7/2024 02:00:00
174210847066494,12,10/6/2024 23:23:00,11/6/2024 00:23:00,4号线，北京南站往北安河方向末班车,2024/6/10 17:00,1/7/2024 02:00:00
174210847066495,13,7/6/2024 23:14:00,8/6/2024 00:14:00,7号线，北京西站往高楼金方向末班车,2024/6/7 17:14,1/7/2024 02:00:00
174210847066496,13,10/6/2024 23:14:00,11/6/2024 00:14:00,7号线，北京西站往高楼金方向末班车,2024/6/10 16:14,1/7/2024 02:00:00
174210847066497,12,10/6/2024 23:47:00,11/6/2024 00:47:00,14号线，东风桥站往善各庄方向末班车,2024/6/10 17:47,1/7/2024 02:00:00
174210847066498,301,10/6/2024 22:58:00,11/6/2024 23:58:00,14号线，东风桥站往丽泽商务区站方向末班车,2024/6/10 14:58,1/7/2024 02:00:00
174210847066499,12,10/6/2024 23:12:00,11/6/2024 00:12:00,14号线，北京南站往善各庄方向末班车,2024/6/10 14:12,1/7/2024 02:00:00
174210847066500,14,14/9/2024 23:23:00,15/9/2024 00:30:00,4号线，开往安河桥北方向,2024/6/11 14:12,1/7/2024 02:00:00
174210847066501,13,14/9/2024 22:59:00,15/9/2024 00:00:00,7号线，开往环球度假区方向,2024/6/12 14:12,1/7/2024 02:00:00
174210847066502,8,16/9/2024 23:23:00,17/9/2024 00:00:00,4号线，开往安河桥北方向,2024/9/16 16:23,1/7/2024 02:00:00
174210847066503,16,17/9/2024 22:45:00,18/9/2024 00:00:00,4号线，开往安河桥北方向,2024/9/17 15:45,1/7/2024 02:00:00
174210847066504,13,17/9/2024 22:59:00,18/9/2024 00:00:00,7号线，开往环球度假区方向,2024/9/18 15:45,1/7/2024 02:00:00
174210847066505,3,17/6/2024 23:47:00,18/6/2024 00:00:00,14号线，东风北桥开往善各庄方向,2024/9/19 15:45,1/7/2024 02:00:00
174210847066506,12,17/9/2024 23:00:00,18/9/2024 00:00:00,大兴机场线，往草桥站方向,2024/9/20 15:45,1/7/2024 02:00:00
174210847066507,7,15/2/2024 23:20:00,15/2/2024 23:50:00,2号线北京站上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066508,7,16/2/2024 23:20:00,16/2/2024 23:50:00,2号线北京站上行,2024/2/15 13:20,1/7/2024 02:00:00
